text,label
Patient has hypercholesterolemia with cholesterol 260 mg/dl. Requires low fat diet.,cholesterol
Hyperlipidemia with total cholesterol 265 mg/dl. Dietary modification required.,cholesterol
Blood test shows elevated cholesterol 275 mg/dl and LDL 175 mg/dl. Cardiovascular risk.,cholesterol
Patient has hypothyroidism with TSH 15 mIU/L. Thyroid hormone replacement therapy.,thyroid
Patient shows elevated blood glucose levels of 180 mg/dl. Diagnosed with Type 2 Diabetes Mellitus. HbA1c is 7.2%.,diabetes
Cholesterol levels high at 290 mg/dl. Patient needs lipid-lowering diet.,cholesterol
Patient has hypertension with BP 160/100 mmHg. Requires low salt diet.,hypertension
Blood pressure reading: 150/95 mmHg. Diagnosed with hypertension. High sodium intake noted.,hypertension
"Routine checkup shows normal blood glucose 90 mg/dl, normal BP 120/80 mmHg, normal cholesterol 180 mg/dl.",healthy
"Medical report shows hypertension, BP readings consistently above 140/90. Low sodium foods advised.",hypertension
All vitals normal. Patient maintains healthy lifestyle with balanced diet.,healthy
"Lipid profile: Total cholesterol 280 mg/dl, LDL 180 mg/dl. High cholesterol levels.",cholesterol
"Hypertensive patient, blood pressure 145/90 mmHg. DASH diet recommended.",hypertension
"Thyroid profile shows TSH 12 mIU/L, indicating hypothyroidism. Dietary adjustments needed.",thyroid
"Normal medical report: Glucose 85 mg/dl, BP 118/78 mmHg, cholesterol 175 mg/dl.",healthy
Comprehensive health check: All parameters normal. No medical conditions detected.,healthy
"Medical report: Glucose level 160 mg/dl, HbA1c 6.8%. Diabetes management required.",diabetes
"Patient with diabetes, current glucose reading 200 mg/dl after meals. Needs dietary intervention.",diabetes
Patient with high blood pressure 155/98 mmHg. Needs dietary salt restriction.,hypertension
Diabetic patient with blood sugar 140 mg/dl. Requires low carbohydrate diet plan.,diabetes
Patient is healthy with all biomarkers within normal range. No specific dietary restrictions.,healthy
"Thyroid function test: TSH 0.1 mIU/L, T3 and T4 elevated. Hyperthyroidism diagnosed.",thyroid
Blood sugar test results: Fasting glucose 145 mg/dl. Patient has diabetes with poor glycemic control.,diabetes
Thyroid disorder with abnormal TSH levels. Nutritional support for thyroid health.,thyroid
Hyperthyroid patient with TSH 0.05 mIU/L. Increased metabolism requires higher calorie intake.,thyroid
